Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),Unnamed: 13,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated,Vaccination_ID
18-04-2021,Kerala,5870232,122710,880,5189796,680436,2328909,2860281,606,255745,5614487,,,,,,5189796,Kerala_18-04-2021
19-04-2021,Kerala,6026332,203991,1441,5299053,727279,2381261,2917173,619,288756,5737576,,,,,,5299053,Kerala_19-04-2021
20-04-2021,Kerala,6243615,192246,1429,5443386,800229,2449699,2993054,633,312000,5931615,,,,,,5443386,Kerala_20-04-2021
21-04-2021,Kerala,6353600,170365,1213,5512304,841296,2483037,3028625,642,322945,6030655,,,,,,5512304,Kerala_21-04-2021
22-04-2021,Kerala,6503034,172874,1301,5602945,900089,2525828,3076458,659,333703,6169331,,,,,,5602945,Kerala_22-04-2021
23-04-2021,Kerala,6628388,172728,1247,5673943,954445,2559741,3113525,677,339373,6289015,,,,,,5673943,Kerala_23-04-2021
24-04-2021,Kerala,6827755,205317,1310,5788568,1039187,2615457,3172415,696,343411,6484344,,,,,,5788568,Kerala_24-04-2021
25-04-2021,Kerala,6847075,80837,597,5801281,1045794,2621806,3178777,698,344350,6502725,,,,,,5801281,Kerala_25-04-2021
26-04-2021,Kerala,6991118,180172,1325,5885170,1105948,2662083,3222372,715,349708,6641410,,,,,,5885170,Kerala_26-04-2021
27-04-2021,Kerala,7106942,146869,1075,5947361,1159581,2691909,3254720,732,352774,6754168,,,,,,5947361,Kerala_27-04-2021
28-04-2021,Kerala,7144083,62950,475,5967887,1176196,2701673,3265481,733,362293,6781790,,,,,,5967887,Kerala_28-04-2021
29-04-2021,Kerala,7229177,93760,731,6006391,1222786,2720059,3285590,742,368302,6860875,,,,,,6006391,Kerala_29-04-2021
30-04-2021,Kerala,7376934,154900,1141,6051350,1325584,2741857,3308741,752,375938,7000996,,,,,,6051350,Kerala_30-04-2021
01-05-2021,Kerala,7425416,69210,594,6069726,1355690,2750902,3318069,755,382103,7043313,,,,,,6069726,Kerala_01-05-2021
02-05-2021,Kerala,7426176,18200,156,6069760,1356416,2750908,3318097,755,382111,7044065,,,,,,6069760,Kerala_02-05-2021
03-05-2021,Kerala,7511454,106630,869,6092349,1419105,2761697,3329892,760,387629,7123825,,,,,,6092349,Kerala_03-05-2021
04-05-2021,Kerala,7577304,98340,767,6110419,1466885,2770380,3339264,775,396731,7180573,,,,,,6110419,Kerala_04-05-2021
05-05-2021,Kerala,7600484,59670,455,6118358,1482126,2774337,3343245,776,402333,7198151,,,,,,6118358,Kerala_05-05-2021
06-05-2021,Kerala,7705285,120290,945,6137985,1567300,2784001,3353206,778,407131,7298154,,,,,,6137985,Kerala_06-05-2021
07-05-2021,Kerala,7869269,167350,1157,6168780,1700489,2799186,3368802,792,412346,7456923,,,,,,6168780,Kerala_07-05-2021
08-05-2021,Kerala,7951983,120005,971,6187280,1764703,2808977,3377510,793,416141,7535842,,,,,,6187280,Kerala_08-05-2021
09-05-2021,Kerala,7952556,27900,254,6187652,1764904,2809173,3377686,793,416217,7536339,,,,,,6187652,Kerala_09-05-2021
10-05-2021,Kerala,8066700,132060,992,6216882,1849818,2824070,3392015,797,423755,7642945,,,,,,6216882,Kerala_10-05-2021
11-05-2021,Kerala,8141289,105890,825,6238776,1902513,2835199,3402776,801,431710,7709579,,,,,,6238776,Kerala_11-05-2021
12-05-2021,Kerala,8185506,67230,511,6257014,1928492,2844396,3411815,803,445050,7740456,,,,,,6257014,Kerala_12-05-2021
13-05-2021,Kerala,8212961,62660,473,6267551,1945410,2849994,3416754,803,451210,7761751,,,,,,6267551,Kerala_13-05-2021
14-05-2021,Kerala,8259812,76660,549,6290354,1969458,2861504,3428041,809,465390,7794422,,,,,,6290354,Kerala_14-05-2021
15-05-2021,Kerala,8417840,193340,1222,6426197,1991643,2929192,3496162,843,503057,7914783,,,,,,6426197,Kerala_15-05-2021
16-05-2021,Kerala,8451480,62347,248,6454137,1997343,2943348,3509943,846,525938,7925542,,,,,,6454137,Kerala_16-05-2021
17-05-2021,Kerala,8519852,126134,711,6510777,2009075,2971971,3537933,873,560846,7959006,,,,,,6510777,Kerala_17-05-2021
18-05-2021,Kerala,8573567,107114,689,6556628,2016939,2995543,3560206,879,583045,7990522,,,,,,6556628,Kerala_18-05-2021
19-05-2021,Kerala,8591102,47086,427,6571984,2019118,3003719,3567381,884,590468,8000634,,,,,,6571984,Kerala_19-05-2021
20-05-2021,Kerala,8599407,34433,351,6579668,2019739,3007834,3570949,885,593912,8005495,,,,,,6579668,Kerala_20-05-2021
21-05-2021,Kerala,8614950,48961,447,6594479,2020471,3016029,3577562,888,603174,8011776,0,,,,,6594479,Kerala_21-05-2021
22-05-2021,Kerala,8644281,89493,725,6623765,2020516,3031911,3590961,893,605554,8038727,0,,,,,6623765,Kerala_22-05-2021
23-05-2021,Kerala,8650237,17594,158,6629725,2020512,3035800,3593032,893,607283,8042954,0,,,,,6629725,Kerala_23-05-2021
24-05-2021,Kerala,8703631,113572,888,6683003,2020628,3067418,3614688,897,613100,8090531,0,,,,,6683003,Kerala_24-05-2021
25-05-2021,Kerala,8759506,120035,878,6738751,2020755,3098253,3639577,921,618253,8141253,0,,,,,6738751,Kerala_25-05-2021
26-05-2021,Kerala,8789981,69295,546,6769136,2020845,3116944,3651267,925,620297,8169684,0,,,,,6769136,Kerala_26-05-2021
27-05-2021,Kerala,8904096,173879,987,6881450,2022646,3178296,3702207,947,624269,8279827,0,,,,,6881450,Kerala_27-05-2021
28-05-2021,Kerala,9056314,232312,1107,7031363,2024951,3257463,3772920,980,628104,8428210,0,,,,,7031363,Kerala_28-05-2021
29-05-2021,Kerala,9215371,238231,1124,7170607,2044764,3333564,3836030,1013,649344,8566027,0,,,,,7170607,Kerala_29-05-2021
30-05-2021,Kerala,9241456,42017,147,7190905,2050551,3345454,3844431,1020,655352,8586104,0,,,,,7190905,Kerala_30-05-2021
31-05-2021,Kerala,9413723,272069,1237,7345141,2068582,3434903,3909178,1060,676006,8737717,0,,,,,7345141,Kerala_31-05-2021
01-06-2021,Kerala,9583560,299704,1284,7494522,2089038,3524752,3968676,1094,699631,8883929,0,,,,,7494522,Kerala_01-06-2021
02-06-2021,Kerala,9689249,209924,841,7585560,2103689,3579264,4005189,1107,718474,8970775,0,,,,,7585560,Kerala_02-06-2021
03-06-2021,Kerala,9850288,295836,1214,7730989,2119299,3660864,4068986,1139,735829,9114459,0,,,,,7730989,Kerala_03-06-2021
04-06-2021,Kerala,10026627,320606,1218,7888884,2137743,3748295,4139368,1221,754258,9272350,19,,,,,7888884,Kerala_04-06-2021
05-06-2021,Kerala,10214963,354755,1279,8057972,2156991,3837947,4218767,1258,773840,9441101,22,,,,,8057972,Kerala_05-06-2021
06-06-2021,Kerala,10270131,119620,341,8109567,2160564,3864762,4243531,1274,780025,9490084,22,,,,,8109567,Kerala_06-06-2021
07-06-2021,Kerala,10473049,387925,1269,8302066,2170983,3968931,4331808,1327,812130,9660897,22,,,,,8302066,Kerala_07-06-2021
08-06-2021,Kerala,10692008,428385,1394,8503125,2188883,4069339,4432407,1379,860159,9831827,22,,,,,8503125,Kerala_08-06-2021
09-06-2021,Kerala,10832105,313298,1078,8634128,2197977,4136007,4496716,1405,896410,9935673,22,,,,,8634128,Kerala_09-06-2021
10-06-2021,Kerala,10983039,339007,1185,8772285,2210754,4208856,4561993,1436,941498,10041519,22,,,,,8772285,Kerala_10-06-2021
11-06-2021,Kerala,11102819,294518,1102,8879020,2223799,4262724,4614836,1460,985965,10116832,22,,,,,8879020,Kerala_11-06-2021
12-06-2021,Kerala,11181355,248698,786,8943648,2237707,4296746,4645429,1473,1013894,10167439,22,,,,,8943648,Kerala_12-06-2021
13-06-2021,Kerala,11229829,131106,413,8989689,2240140,4322088,4666124,1477,1017425,10212382,22,,,,,8989689,Kerala_13-06-2021
14-06-2021,Kerala,11422135,379790,1344,9154064,2268071,4411531,4741027,1506,1037536,10384577,22,,,,,9154064,Kerala_14-06-2021
15-06-2021,Kerala,11635416,424663,1301,9307169,2328247,4488313,4817314,1542,1051381,10584013,22,,,,,9307169,Kerala_15-06-2021
16-06-2021,Kerala,11746936,243440,923,9386066,2360870,4529099,4855411,1556,1056130,10690784,22,,,,,9386066,Kerala_16-06-2021
17-06-2021,Kerala,11895426,320096,1239,9504983,2390443,4590268,4913131,1584,1063048,10832356,22,,,,,9504983,Kerala_17-06-2021
18-06-2021,Kerala,11996311,255798,947,9589345,2406966,4632365,4955377,1603,1070485,10925804,22,,,,,9589345,Kerala_18-06-2021
19-06-2021,Kerala,12103202,245704,1002,9676904,2426298,4676553,4998721,1630,1075660,11027520,22,,,,,9676904,Kerala_19-06-2021
20-06-2021,Kerala,12161549,125141,331,9719116,2442433,4697169,5020309,1638,1078411,11083116,22,,,,,9719116,Kerala_20-06-2021
21-06-2021,Kerala,12431202,591187,1543,9878112,2553090,4774418,5101989,1705,1092178,11339002,22,,,,,9878112,Kerala_21-06-2021
22-06-2021,Kerala,12668936,546122,1531,10022247,2646689,4845812,5174699,1736,1106631,11562283,22,,,,,10022247,Kerala_22-06-2021
23-06-2021,Kerala,12837481,364068,1133,10116957,2720524,4891573,5223627,1757,1126110,11711349,22,,,,,10116957,Kerala_23-06-2021
24-06-2021,Kerala,13061640,492490,1418,10258975,2802665,4961637,5295553,1785,1142238,11919380,22,,,,,10258975,Kerala_24-06-2021
25-06-2021,Kerala,13304025,528180,1472,10402196,2901829,6385464,6916521,2040,1154293,12149710,22,,,,,,Kerala_25-06-2021
26-06-2021,Kerala,13483338,398389,1234,10506089,2977249,6472367,7008893,2078,1169758,12313558,22,,,,,,Kerala_26-06-2021
27-06-2021,Kerala,13535878,135036,274,10541450,2994428,6498966,7034828,2084,1174572,12361080,226,,,,,,Kerala_27-06-2021
28-06-2021,Kerala,13748651,438168,1361,10649612,3099039,6599361,7147179,2111,1195791,12552616,244,,,,,,Kerala_28-06-2021
29-06-2021,Kerala,13948645,420048,1412,10748505,3200140,6693041,7253459,2145,1211737,12736664,244,,,,,,Kerala_29-06-2021
30-06-2021,Kerala,14095726,333990,954,10841514,3254212,6766583,7326970,2173,1225695,12869253,778,,,,,,Kerala_30-06-2021
01-07-2021,Kerala,14242696,272859,1136,10915717,3326979,6837049,7403404,2243,1243834,12997960,902,,,,,,Kerala_01-07-2021
02-07-2021,Kerala,14531577,507450,1598,11043945,3487632,6975234,7554037,2306,1260906,13269769,902,,,,,,Kerala_02-07-2021
03-07-2021,Kerala,14764538,434026,1349,11162817,3601721,7085967,7676234,2337,1286057,13477539,942,,,,,,Kerala_03-07-2021
04-07-2021,Kerala,14790452,60703,204,11179952,3610500,7099481,7688630,2341,1296452,13492969,1031,,,,,,Kerala_04-07-2021
05-07-2021,Kerala,14947001,280390,1126,11261270,3685731,7180664,7763956,2381,1322560,13622811,1630,,,,,,Kerala_05-07-2021
06-07-2021,Kerala,15062316,210822,956,11322761,3739555,7237725,7822183,2408,1344479,13715852,1985,,,,,,Kerala_06-07-2021
07-07-2021,Kerala,15120585,121989,609,11356275,3764310,7266495,7851631,2459,1361299,13756846,2440,,,,,,Kerala_07-07-2021
08-07-2021,Kerala,15221414,179017,890,11393122,3828292,7315328,7903598,2488,1397281,13821583,2550,,,,,,Kerala_08-07-2021
09-07-2021,Kerala,15412596,368154,1287,11454395,3958201,7405403,8004675,2518,1415604,13993920,3072,,,,,,Kerala_09-07-2021
10-07-2021,Kerala,15667228,444207,1214,11544597,4122631,7529617,8135053,2558,1425089,14237704,4435,,,,,,Kerala_10-07-2021
11-07-2021,Kerala,15700974,64579,187,11559011,4141963,7547088,8151321,2565,1432200,14263410,5364,,,,,,Kerala_11-07-2021
12-07-2021,Kerala,15911270,376850,1171,11633723,4277547,7648303,8260345,2622,1453114,14451266,6890,,,,,,Kerala_12-07-2021
13-07-2021,Kerala,16059858,286176,1093,11695199,4364659,7719659,8337553,2646,1466069,14585013,8776,,,,,,Kerala_13-07-2021
14-07-2021,Kerala,16206261,187084,951,11787878,4418383,7787353,8416221,2687,1484769,14711314,10178,,,,,,Kerala_14-07-2021
15-07-2021,Kerala,16360256,265393,1234,11856125,4504131,7859069,8498473,2714,1498515,14850676,11065,,,,,,Kerala_15-07-2021
16-07-2021,Kerala,16485990,239682,1079,11918604,4567386,7915171,8568060,2759,1514558,14959533,11899,,,,,,Kerala_16-07-2021
17-07-2021,Kerala,16650485,282769,978,11989687,4660798,7996675,8651030,2780,1529101,15108827,12557,,,,,,Kerala_17-07-2021
18-07-2021,Kerala,16704293,94433,209,12021046,4683247,8023350,8678151,2792,1535638,15156094,12561,,,,,,Kerala_18-07-2021
19-07-2021,Kerala,17058684,564617,1508,12156815,4901869,8187649,8868189,2846,1545081,15500256,13347,,,,,,Kerala_19-07-2021
20-07-2021,Kerala,17329394,447904,1294,12277830,5051564,8314318,9012186,2890,1557222,15757849,14323,,,,,,Kerala_20-07-2021
21-07-2021,Kerala,17427952,225544,733,12340361,5087591,8358664,9066379,2909,1562403,15850690,14859,,,,,,Kerala_21-07-2021
22-07-2021,Kerala,17709317,467291,1339,12464564,5244753,8491218,9215139,2960,1572081,16121262,15974,,,,,,Kerala_22-07-2021
23-07-2021,Kerala,17976287,480259,1366,12585905,5390382,8621196,9352074,3017,1591266,16368360,16661,,,,,,Kerala_23-07-2021
24-07-2021,Kerala,18464206,886286,1524,12877004,5587202,8856303,9604793,3110,1626888,16820026,17292,,,,,,Kerala_24-07-2021
25-07-2021,Kerala,18594259,290522,424,12972001,5622258,8921583,9669519,3157,1649113,16927291,17855,,,,,,Kerala_25-07-2021
26-07-2021,Kerala,18811780,472160,992,13128347,5683433,9027616,9780947,3217,1703972,17089290,18518,,,,,,Kerala_26-07-2021
27-07-2021,Kerala,18942910,348114,730,13233990,5708920,9092117,9847543,3250,1746313,17176726,19871,,,,,,Kerala_27-07-2021
28-07-2021,Kerala,19009970,0,0,13292691,5717279,9125567,9881136,3267,1753082,17236207,20681,,,,,,Kerala_28-07-2021
29-07-2021,Kerala,19271174,694696,940,13465864,5805310,9250340,10017484,3350,1767405,17482647,21122,,,,,,Kerala_29-07-2021
30-07-2021,Kerala,19781866,1212779,1754,13811980,5969886,9490841,10287538,3487,1777589,17982909,21368,,,,,,Kerala_30-07-2021
31-07-2021,Kerala,20165100,944684,1547,14111255,6053845,9676366,10485140,3594,1813977,18328701,22422,,,,,,Kerala_31-07-2021
01-08-2021,Kerala,20369496,324007,418,14284456,6085040,9772822,10593082,3592,1822361,18524038,23097,,,,,,Kerala_01-08-2021
02-08-2021,Kerala,20720223,724172,1468,14566582,6153641,9938587,10777941,3695,1839109,18857280,23834,,,,,,Kerala_02-08-2021
03-08-2021,Kerala,21008073,768830,1536,14804327,6203746,10077044,10927247,3782,1854053,19128434,25586,,,,,,Kerala_03-08-2021
04-08-2021,Kerala,21114463,397667,924,14882715,6231748,10126092,10984512,3859,1881797,19205781,26885,,,,,,Kerala_04-08-2021
05-08-2021,Kerala,21303369,519857,1132,15033777,6269592,10221203,11078251,3915,1905220,19370010,28139,,,,,,Kerala_05-08-2021
06-08-2021,Kerala,21560396,648206,1421,15231449,6328947,10352244,11204180,3972,1995631,19535898,28867,,,,,,Kerala_06-08-2021
07-08-2021,Kerala,21782429,579834,1170,15416834,6365595,10463055,11315346,4028,2022128,19730546,29755,,,,,,Kerala_07-08-2021
08-08-2021,Kerala,21843327,165613,286,15472524,6370803,10496048,11343226,4053,2025521,19787714,30092,,,,,,Kerala_08-08-2021
09-08-2021,Kerala,22097731,586973,1365,15670747,6426984,10623457,11470142,4132,2043075,20023775,30881,,,,,,Kerala_09-08-2021
10-08-2021,Kerala,,,,,,,,,,,,,,,,,Kerala_10-08-2021
11-08-2021,Kerala,,,,,,,,,,,,,,,,,Kerala_11-08-2021
12-08-2021,Kerala,,,,,,,,,,,,,,,,,Kerala_12-08-2021
13-08-2021,Kerala,,,,,,,,,,,,,,,,,Kerala_13-08-2021
14-08-2021,Kerala,,,,,,,,,,,,,,,,,Kerala_14-08-2021
15-08-2021,Kerala,,,,,,,,,,,,,,,,,Kerala_15-08-2021
16-01-2021,Ladakh,9,1,1,9,0,0,9,0,0,9,,,,,,9,Ladakh_16-01-2021
17-01-2021,Ladakh,9,2,2,9,0,0,9,0,0,9,,,,,,9,Ladakh_17-01-2021
18-01-2021,Ladakh,64,3,3,64,0,15,49,0,0,64,,,,,,64,Ladakh_18-01-2021
19-01-2021,Ladakh,64,4,4,64,0,15,49,0,0,64,,,,,,64,Ladakh_19-01-2021
20-01-2021,Ladakh,66,5,5,66,0,16,50,0,0,66,,,,,,66,Ladakh_20-01-2021
21-01-2021,Ladakh,66,10,7,66,0,16,50,0,0,66,,,,,,66,Ladakh_21-01-2021
22-01-2021,Ladakh,164,12,9,164,0,43,121,0,0,164,,,,,,164,Ladakh_22-01-2021
23-01-2021,Ladakh,330,12,9,330,0,98,232,0,0,330,,,,,,330,Ladakh_23-01-2021
24-01-2021,Ladakh,337,13,10,337,0,104,233,0,0,337,,,,,,337,Ladakh_24-01-2021
25-01-2021,Ladakh,461,14,11,461,0,148,313,0,0,461,,,,,,461,Ladakh_25-01-2021
26-01-2021,Ladakh,461,15,11,461,0,148,313,0,0,461,,,,,,461,Ladakh_26-01-2021
27-01-2021,Ladakh,642,16,12,642,0,234,408,0,0,642,,,,,,642,Ladakh_27-01-2021
28-01-2021,Ladakh,652,18,13,652,0,241,411,0,0,652,,,,,,652,Ladakh_28-01-2021
29-01-2021,Ladakh,823,19,13,823,0,290,533,0,0,823,,,,,,823,Ladakh_29-01-2021
30-01-2021,Ladakh,959,19,13,959,0,346,613,0,0,959,,,,,,959,Ladakh_30-01-2021
31-01-2021,Ladakh,959,20,13,959,0,346,613,0,0,959,,,,,,959,Ladakh_31-01-2021
01-02-2021,Ladakh,1065,25,16,1065,0,379,686,0,0,1065,,,,,,1065,Ladakh_01-02-2021
02-02-2021,Ladakh,1065,34,18,1065,0,379,686,0,0,1065,,,,,,1065,Ladakh_02-02-2021
03-02-2021,Ladakh,1342,36,18,1342,0,452,890,0,0,1342,,,,,,1342,Ladakh_03-02-2021
04-02-2021,Ladakh,1342,42,20,1342,0,452,890,0,0,1342,,,,,,1342,Ladakh_04-02-2021
05-02-2021,Ladakh,1578,43,20,1578,0,520,1058,0,0,1578,,,,,,1578,Ladakh_05-02-2021
06-02-2021,Ladakh,1817,47,22,1817,0,573,1244,0,0,1817,,,,,,1817,Ladakh_06-02-2021
07-02-2021,Ladakh,1817,54,27,1817,0,573,1244,0,0,1817,,,,,,1817,Ladakh_07-02-2021
08-02-2021,Ladakh,2064,59,29,2064,0,637,1427,0,2,2062,,,,,,2064,Ladakh_08-02-2021
09-02-2021,Ladakh,2158,60,30,2158,0,681,1477,0,22,2136,,,,,,2158,Ladakh_09-02-2021
10-02-2021,Ladakh,2379,66,33,2379,0,739,1640,0,22,2357,,,,,,2379,Ladakh_10-02-2021
11-02-2021,Ladakh,2597,66,33,2597,0,768,1829,0,23,2574,,,,,,2597,Ladakh_11-02-2021
12-02-2021,Ladakh,2695,69,33,2695,0,782,1913,0,23,2672,,,,,,2695,Ladakh_12-02-2021
13-02-2021,Ladakh,2902,71,34,2831,71,803,2028,0,23,2808,,,,,,2831,Ladakh_13-02-2021
14-02-2021,Ladakh,2902,78,37,2831,71,803,2028,0,23,2808,,,,,,2831,Ladakh_14-02-2021
15-02-2021,Ladakh,3014,84,39,2887,127,820,2067,0,23,2864,,,,,,2887,Ladakh_15-02-2021
16-02-2021,Ladakh,3602,91,39,3433,169,1245,2188,0,23,3410,,,,,,3433,Ladakh_16-02-2021
17-02-2021,Ladakh,4162,104,39,3931,231,1685,2246,0,23,3908,,,,,,3931,Ladakh_17-02-2021
18-02-2021,Ladakh,4572,118,39,4284,288,1988,2296,0,23,4261,,,,,,4284,Ladakh_18-02-2021
19-02-2021,Ladakh,5531,130,39,5175,356,2544,2631,0,23,5152,,,,,,5175,Ladakh_19-02-2021
20-02-2021,Ladakh,6383,139,42,5783,600,3008,2775,0,31,5752,,,,,,5783,Ladakh_20-02-2021
21-02-2021,Ladakh,6621,146,43,6021,600,3209,2812,0,31,5990,,,,,,6021,Ladakh_21-02-2021
22-02-2021,Ladakh,7460,156,46,6748,712,3783,2965,0,39,6709,,,,,,6748,Ladakh_22-02-2021
23-02-2021,Ladakh,8432,165,49,7719,713,4690,3029,0,39,7680,,,,,,7719,Ladakh_23-02-2021
24-02-2021,Ladakh,9243,178,55,8396,847,5348,3048,0,39,8357,,,,,,8396,Ladakh_24-02-2021
25-02-2021,Ladakh,9734,200,71,8887,847,5786,3101,0,39,8848,,,,,,8887,Ladakh_25-02-2021
26-02-2021,Ladakh,10341,200,71,9412,929,6219,3193,0,39,9373,,,,,,9412,Ladakh_26-02-2021
27-02-2021,Ladakh,10341,200,71,9412,929,6219,3193,0,39,9373,,,,,,9412,Ladakh_27-02-2021
28-02-2021,Ladakh,10341,224,73,9412,929,6219,3193,0,39,9373,,,,,,9412,Ladakh_28-02-2021
01-03-2021,Ladakh,10341,222,72,9412,929,6219,3193,0,39,9373,,,,,,9412,Ladakh_01-03-2021
02-03-2021,Ladakh,11130,238,75,9990,1140,6698,3292,0,39,9951,,,,,,9990,Ladakh_02-03-2021
03-03-2021,Ladakh,12205,276,75,10778,1427,7170,3608,0,40,10738,,,,,,10778,Ladakh_03-03-2021
04-03-2021,Ladakh,13048,323,75,11538,1510,7648,3890,0,40,11498,,,,,,11538,Ladakh_04-03-2021
05-03-2021,Ladakh,14139,376,77,12393,1746,8125,4268,0,41,12352,,,,,,12393,Ladakh_05-03-2021
06-03-2021,Ladakh,16365,406,79,14387,1978,9327,5060,0,41,14346,,,,,,14387,Ladakh_06-03-2021
07-03-2021,Ladakh,16365,411,79,14387,1978,9327,5060,0,41,14346,,,,,,14387,Ladakh_07-03-2021
08-03-2021,Ladakh,19096,447,88,16882,2214,10651,6231,0,41,16841,,,,,,16882,Ladakh_08-03-2021
09-03-2021,Ladakh,20455,4400,28,18159,2296,12704,7751,0,0,20455,,,,,,20455,Ladakh_09-03-2021
10-03-2021,Ladakh,23584,3700,22,21085,2499,14267,9315,2,0,23584,,,,,,23584,Ladakh_10-03-2021
11-03-2021,Ladakh,26595,3700,22,23882,2713,15672,10921,2,0,26595,,,,,,26595,Ladakh_11-03-2021
12-03-2021,Ladakh,29215,3200,20,26413,2802,16904,12309,2,0,29215,,,,,,29215,Ladakh_12-03-2021
13-03-2021,Ladakh,31815,4100,27,28917,2898,18307,13505,3,0,31815,,,,,,31815,Ladakh_13-03-2021
14-03-2021,Ladakh,32385,1100,9,29485,2900,18601,13781,3,0,32385,,,,,,32385,Ladakh_14-03-2021
15-03-2021,Ladakh,34683,4000,30,31760,2923,19700,14980,3,0,34683,,,,,,34683,Ladakh_15-03-2021
16-03-2021,Ladakh,38926,3700,27,35573,3353,20363,15207,3,0,38926,,,,,,35573,Ladakh_16-03-2021
17-03-2021,Ladakh,40726,2900,22,37044,3682,21178,15863,3,0,40726,,,,,,37044,Ladakh_17-03-2021
18-03-2021,Ladakh,42033,2100,15,37810,4223,21589,16218,3,0,42033,,,,,,37810,Ladakh_18-03-2021
19-03-2021,Ladakh,43189,3600,22,38440,4749,21883,16554,3,0,43189,,,,,,38440,Ladakh_19-03-2021
20-03-2021,Ladakh,44169,2300,15,38954,5215,22160,16791,3,0,44169,,,,,,38954,Ladakh_20-03-2021
21-03-2021,Ladakh,44234,600,3,39005,5229,22186,16816,3,0,44234,,,,,,39005,Ladakh_21-03-2021
22-03-2021,Ladakh,45135,3100,20,39419,5716,22395,17021,3,0,45135,,,,,,39419,Ladakh_22-03-2021
23-03-2021,Ladakh,45814,1000,7,39767,6047,22558,17206,3,0,45814,,,,,,39767,Ladakh_23-03-2021
24-03-2021,Ladakh,46093,900,6,39950,6143,22677,17270,3,0,46093,,,,,,39950,Ladakh_24-03-2021
25-03-2021,Ladakh,46261,800,5,40010,6251,22702,17305,3,0,46261,,,,,,40010,Ladakh_25-03-2021
26-03-2021,Ladakh,46461,700,4,40083,6378,22733,17347,3,0,46461,,,,,,40083,Ladakh_26-03-2021
27-03-2021,Ladakh,46590,700,4,40195,6395,22813,17379,3,0,46590,,,,,,40195,Ladakh_27-03-2021
28-03-2021,Ladakh,46589,700,5,40194,6395,22812,17379,3,0,46589,,,,,,40194,Ladakh_28-03-2021
29-03-2021,Ladakh,46588,1100,5,40193,6395,22811,17379,3,0,46588,,,,,,40193,Ladakh_29-03-2021
30-03-2021,Ladakh,46645,2220,11,40215,6430,22811,17401,3,0,46645,,,,,,40215,Ladakh_30-03-2021
31-03-2021,Ladakh,46872,1900,11,40372,6500,22926,17443,3,0,46872,,,,,,40372,Ladakh_31-03-2021
01-04-2021,Ladakh,50362,6500,38,43815,6547,24557,19255,3,0,50362,,,,,,43815,Ladakh_01-04-2021
02-04-2021,Ladakh,55631,6900,44,49045,6586,27091,21951,3,0,55631,,,,,,49045,Ladakh_02-04-2021
03-04-2021,Ladakh,59338,5100,32,52707,6631,28893,23811,3,0,59338,,,,,,52707,Ladakh_03-04-2021
04-04-2021,Ladakh,62214,5600,39,55578,6636,30350,25225,3,0,62214,,,,,,55578,Ladakh_04-04-2021
05-04-2021,Ladakh,65089,6600,45,58417,6672,31792,26622,3,0,65089,,,,,,58417,Ladakh_05-04-2021
06-04-2021,Ladakh,66613,6400,44,59863,6750,32542,27318,3,0,66613,,,,,,59863,Ladakh_06-04-2021
07-04-2021,Ladakh,69391,6000,41,62372,7019,33902,28466,4,0,69391,,,,,,62372,Ladakh_07-04-2021
08-04-2021,Ladakh,71259,3400,24,63903,7356,34662,29237,4,0,71259,,,,,,63903,Ladakh_08-04-2021
09-04-2021,Ladakh,71960,6200,44,64284,7676,34882,29398,4,0,71960,,,,,,64284,Ladakh_09-04-2021
10-04-2021,Ladakh,72431,2400,18,64518,7913,35014,29500,4,0,72431,,,,,,64518,Ladakh_10-04-2021
11-04-2021,Ladakh,73397,7800,55,65236,8161,35434,29798,4,0,73397,,,,,,65236,Ladakh_11-04-2021
12-04-2021,Ladakh,74608,7300,49,66115,8493,35907,30204,4,0,74608,,,,,,66115,Ladakh_12-04-2021
13-04-2021,Ladakh,75319,5900,39,66540,8779,36134,30402,4,0,75319,,,,,,66540,Ladakh_13-04-2021
14-04-2021,Ladakh,75905,3400,23,66813,9092,36280,30529,4,0,75905,,,,,,66813,Ladakh_14-04-2021
15-04-2021,Ladakh,76470,3800,24,66918,9552,36347,30566,5,0,76470,,,,,,66918,Ladakh_15-04-2021
16-04-2021,Ladakh,76968,3000,21,67005,9963,36405,30595,5,0,76968,,,,,,67005,Ladakh_16-04-2021
17-04-2021,Ladakh,77819,2000,13,67157,10662,36491,30661,5,0,77819,,,,,,67157,Ladakh_17-04-2021
18-04-2021,Ladakh,77857,3300,22,67185,10672,36501,30679,5,0,77857,,,,,,67185,Ladakh_18-04-2021
19-04-2021,Ladakh,80595,3100,21,67732,12863,36766,30961,5,0,80595,,,,,,67732,Ladakh_19-04-2021
20-04-2021,Ladakh,84637,3400,22,68954,15683,37358,31591,5,0,84637,,,,,,68954,Ladakh_20-04-2021
21-04-2021,Ladakh,88412,3400,20,69995,18417,37838,32152,5,0,88412,,,,,,69995,Ladakh_21-04-2021
22-04-2021,Ladakh,91310,3600,22,70599,20711,38150,32444,5,0,91310,,,,,,70599,Ladakh_22-04-2021
23-04-2021,Ladakh,94316,3800,26,71353,22963,38528,32820,5,0,94316,,,,,,71353,Ladakh_23-04-2021
